sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,v_decile_score,decile_score
Female,38,African-American,0,0,0,25,-1,1,M,0,O,0,10,10
Male,26,African-American,1,3,0,24,-1,1,M,1,F,1,10,10
Male,36,African-American,0,0,0,22,-1,1,M,0,O,0,10,9
Male,38,African-American,2,0,0,21,-1,1,F,1,M,0,10,10
Male,34,African-American,1,0,0,21,-1,1,M,1,M,1,10,10
Male,28,African-American,0,2,0,21,-1,1,F,1,F,1,10,10
Male,42,African-American,0,0,0,19,-1,1,F,0,O,0,10,8
Male,32,African-American,0,0,0,19,-1,1,F,1,F,1,10,10
Male,27,Caucasian,0,0,1,18,-1,1,F,1,M,0,10,9
Male,38,African-American,0,1,0,16,-1,1,F,1,F,1,10,9
Male,25,African-American,1,6,1,14,-1,1,F,1,M,1,10,10
Male,24,African-American,0,4,0,14,-1,1,F,1,F,1,10,10
Male,27,African-American,0,0,1,13,-1,1,F,1,M,0,10,10
Male,37,African-American,1,0,1,12,-1,1,M,1,M,0,10,9
Female,20,African-American,0,7,2,12,-1,1,F,0,O,0,10,10
Male,38,Caucasian,3,0,0,11,-1,1,F,0,O,0,10,9
Male,27,African-American,1,2,0,11,-1,1,F,0,O,0,10,9
Male,26,African-American,0,1,0,10,-1,1,F,1,M,0,10,10
Male,24,Other,0,1,0,9,-1,1,F,1,M,1,10,10
Male,31,African-American,0,2,0,8,-1,1,M,1,M,1,10,10
Male,28,African-American,1,2,0,8,-1,1,M,0,O,0,10,10
Male,25,African-American,0,0,0,8,-1,1,M,1,F,1,10,10
Male,24,Caucasian,0,0,2,8,-1,1,F,1,F,0,10,9
Male,22,African-American,0,0,0,8,-1,1,F,0,O,0,10,10
Male,28,Caucasian,0,0,0,7,-1,1,F,1,F,0,10,9
Male,26,African-American,0,1,0,7,-1,1,F,0,O,0,10,8
Male,25,African-American,0,1,0,7,-1,1,F,1,F,1,10,10
Male,21,African-American,1,0,0,7,-1,1,F,1,F,0,10,10
Male,30,African-American,1,1,2,6,-1,1,F,0,O,0,10,9
Male,28,African-American,0,0,0,6,-1,1,F,0,O,0,10,9
Male,27,African-American,1,2,1,6,-1,1,M,0,O,0,10,10
Male,28,African-American,0,0,0,5,-1,1,F,0,O,0,10,10
Male,28,African-American,1,1,0,5,-1,1,F,0,O,0,10,10
Male,25,African-American,0,0,0,4,-1,1,M,0,O,0,10,10
Male,24,African-American,0,0,1,4,-1,1,F,0,O,0,10,8
Male,23,Other,0,0,0,4,-1,1,F,0,O,0,10,10
Male,23,African-American,1,1,2,4,-1,1,F,0,O,0,10,10
Male,21,Hispanic,1,0,0,4,-1,1,F,1,F,0,10,10
Male,20,Other,3,1,0,4,-1,1,F,0,O,0,10,10
Male,20,Caucasian,0,4,0,4,-1,1,F,0,O,0,10,10
Male,23,African-American,1,0,1,3,-1,1,F,0,O,0,10,9
Male,22,African-American,0,0,0,3,-1,1,F,0,O,0,10,8
Male,21,African-American,1,2,2,3,-1,1,F,1,F,0,10,10
Male,20,Hispanic,0,0,0,3,-1,1,F,1,F,0,10,10
Male,20,Caucasian,3,0,1,3,-1,1,F,0,O,0,10,9
Male,20,African-American,0,0,0,3,-1,1,F,1,M,0,10,7
Male,20,African-American,0,0,1,2,-1,1,F,0,O,0,10,10
Male,37,African-American,0,0,0,1,-1,1,F,0,O,0,10,10
Male,23,African-American,0,0,0,1,-1,1,F,1,F,0,10,10
Male,21,African-American,1,0,0,1,-1,1,F,1,M,0,10,10
Male,21,African-American,1,0,2,1,-1,1,F,1,F,0,10,10
Male,21,African-American,0,0,0,1,-1,1,F,0,O,0,10,9
Male,21,Hispanic,1,0,0,1,-1,1,F,1,M,0,10,10
Male,20,African-American,0,0,0,1,-1,1,F,0,O,0,10,10
Male,20,African-American,0,0,0,1,-1,1,F,0,O,0,10,10
Male,20,Caucasian,0,1,1,1,-1,1,F,1,M,0,10,10
Male,20,African-American,1,0,0,1,-1,1,F,1,M,0,10,10
Male,20,African-American,1,0,0,1,-1,1,F,0,O,0,10,10
Male,20,African-American,0,0,1,1,-1,1,F,1,M,0,10,10
Male,20,African-American,0,0,0,1,-1,1,F,1,F,0,10,10
Male,20,African-American,0,0,0,1,-1,1,F,1,F,1,10,9
Male,19,Caucasian,0,1,3,1,-1,1,F,1,M,0,10,10
Male,55,African-American,0,0,0,0,-1,1,F,0,O,0,10,9
Male,40,Caucasian,0,0,0,0,-1,1,M,1,F,1,10,8
Male,29,African-American,0,0,0,0,-1,1,M,1,M,0,10,9
Male,26,African-American,0,0,0,0,-1,1,F,0,O,0,10,9
Male,24,Hispanic,0,0,0,0,-1,1,F,0,O,0,10,10
Female,23,Other,0,0,0,0,-1,1,M,0,O,0,10,10
Male,22,African-American,0,0,0,0,-1,1,M,0,O,0,10,10
Male,21,Caucasian,0,0,0,0,-1,1,F,0,O,0,10,10
Male,21,Hispanic,0,0,2,0,-1,1,F,1,M,0,10,9
Male,21,African-American,0,0,0,0,-1,1,F,1,M,0,10,9
Male,21,African-American,0,0,0,0,-1,1,F,0,O,0,10,9
Male,20,African-American,0,0,1,0,-1,1,F,0,O,0,10,10
Male,20,African-American,0,0,0,0,-1,1,M,1,M,1,10,10
Male,20,African-American,0,0,0,0,-1,1,F,1,F,1,10,10
Male,20,Caucasian,0,0,0,0,-1,1,F,1,M,0,10,10
Male,20,African-American,0,0,0,0,-1,1,M,1,M,1,10,10
Female,19,African-American,0,0,0,0,-1,1,F,0,O,0,10,9
Male,25,African-American,0,1,0,21,-14,1,F,1,F,0,10,10
Male,32,African-American,1,2,0,17,84,0,F,1,M,0,10,10
Male,31,African-American,0,0,0,23,0,0,F,1,F,0,10,10
Male,32,African-American,0,0,1,22,0,0,F,1,M,1,10,9
Male,26,African-American,0,0,0,20,0,0,F,1,M,0,10,10
Male,29,Caucasian,0,0,2,14,0,0,F,1,M,0,10,10
Male,27,African-American,2,0,0,14,0,0,F,1,F,0,10,10
Male,29,African-American,0,1,0,13,0,0,F,1,F,1,10,10
Male,30,Caucasian,0,0,0,9,0,0,F,1,F,0,10,9
Male,26,African-American,0,0,0,9,0,0,F,0,O,0,10,7
Male,34,African-American,0,0,0,8,0,0,F,0,O,0,10,10
Male,55,Caucasian,0,0,0,7,0,0,F,0,O,0,10,8
Male,27,African-American,0,0,0,7,0,0,F,1,F,0,10,10
Male,28,African-American,0,0,0,6,0,0,F,1,F,1,10,10
Male,26,African-American,0,0,1,6,0,0,M,1,M,0,10,10
Male,31,African-American,0,0,0,5,0,0,M,0,O,0,10,10
Male,24,African-American,0,0,0,3,0,0,F,0,O,0,10,9
Male,22,African-American,0,3,0,3,0,0,F,0,O,0,10,9
Male,22,African-American,0,1,1,3,0,0,F,1,F,1,10,10
Male,23,African-American,1,0,0,2,0,0,F,1,M,0,10,9
Male,22,African-American,1,0,0,2,0,0,F,1,M,0,10,9
Male,21,African-American,0,0,0,2,0,0,F,1,M,1,10,10
Male,33,Caucasian,0,0,0,1,0,0,F,0,O,0,10,9
Male,26,African-American,0,0,0,1,0,0,F,1,F,0,10,10
Male,22,African-American,0,0,1,1,0,0,F,1,M,0,10,10
Male,22,African-American,0,1,0,1,0,0,F,1,F,0,10,8
Male,21,African-American,0,0,0,1,0,0,F,1,M,0,10,10
Male,21,African-American,0,0,1,1,0,0,F,1,M,0,10,10
Female,20,African-American,1,0,0,1,0,0,F,0,O,0,10,10
Male,20,African-American,1,0,0,1,0,0,F,0,O,0,10,7
Male,20,African-American,0,0,0,1,0,0,F,1,M,1,10,10
Male,19,African-American,0,1,0,1,0,0,F,1,M,0,10,10
Male,31,African-American,0,0,0,0,0,0,F,0,O,0,10,10
Male,29,African-American,0,0,0,0,0,0,F,0,O,0,10,8
Male,20,African-American,0,0,1,0,0,0,F,0,O,0,10,8
Male,23,African-American,0,0,2,9,-1,0,F,0,O,0,10,10
Male,21,African-American,5,1,0,6,-1,0,F,0,O,0,10,10
Male,26,African-American,0,3,0,3,-1,2022,M,1,M,0,9,9
Male,58,African-American,0,0,0,12,1,1723,M,0,O,0,9,6
Male,26,Caucasian,0,0,0,3,0,871,M,0,O,0,9,10
Male,29,African-American,0,0,0,8,178,614,F,0,O,0,9,10
Male,32,African-American,0,1,0,13,680,451,M,1,M,0,9,8
Male,32,African-American,1,0,2,4,-1,435,F,0,O,0,9,10
Male,23,African-American,0,0,0,1,237,398,M,1,M,0,9,8
Male,44,Caucasian,0,0,0,11,88,366,F,0,O,0,9,9
Male,23,African-American,0,0,0,4,320,330,F,0,O,0,9,7
Male,21,Hispanic,1,0,0,1,88,321,F,1,F,1,9,8
Male,27,African-American,0,0,0,8,53,294,F,1,M,1,9,10
Male,25,African-American,2,3,1,14,175,276,F,0,O,0,9,10
Male,21,African-American,1,0,0,2,-306,273,F,0,O,0,9,10
Male,41,African-American,0,0,0,19,29,267,F,1,M,0,9,5
Male,23,African-American,2,0,1,4,85,260,F,0,O,0,9,10
Male,22,African-American,0,0,0,3,161,208,M,1,M,1,9,9
Male,26,African-American,0,1,0,13,-1,207,M,1,M,0,9,10
Male,19,African-American,1,2,0,3,-200,200,F,1,M,1,9,10
Male,36,Hispanic,1,0,0,20,-222,180,F,1,F,0,9,10
Male,24,African-American,0,0,0,4,-175,175,F,1,M,1,9,10
Male,23,Hispanic,0,0,0,1,87,165,F,0,O,0,9,10
Female,21,African-American,1,0,0,4,122,154,F,1,F,0,9,10
Male,21,African-American,0,0,0,1,34,153,F,1,F,1,9,9
Male,23,Caucasian,0,2,1,5,52,142,M,1,M,1,9,10
Female,26,African-American,0,0,0,1,-140,140,F,0,O,0,9,8
Female,21,Caucasian,0,0,0,1,132,138,F,1,F,0,9,8
Male,18,African-American,5,0,2,4,7,138,F,1,F,1,9,5
Female,40,African-American,0,0,0,13,752,133,F,1,F,1,9,10
Male,29,African-American,2,0,1,7,678,125,F,0,O,0,9,9
Male,22,African-American,0,1,2,2,70,114,F,1,M,0,9,10
Male,33,Native American,1,0,0,9,72,106,M,1,M,1,9,7
Male,20,African-American,0,0,1,2,-104,104,F,0,O,0,9,8
Male,22,African-American,0,0,0,7,-102,102,M,0,O,0,9,9
Male,36,Hispanic,0,0,0,1,-8,101,M,1,F,0,9,10
Male,24,African-American,0,0,1,7,-97,97,M,1,M,0,9,8
Male,26,Caucasian,1,0,0,9,-84,84,F,1,M,0,9,9
Male,24,African-American,0,0,0,2,-81,81,M,0,O,0,9,8
Female,24,African-American,0,0,0,1,-77,78,F,0,O,0,9,7
Male,23,African-American,1,0,2,2,176,77,F,1,F,1,9,7
Male,40,African-American,0,0,0,7,129,77,F,0,O,0,9,8
Male,20,Caucasian,1,0,0,1,13,77,F,1,F,0,9,7
Male,30,African-American,1,2,0,8,-74,74,F,0,O,0,9,10
Male,28,African-American,0,0,0,25,29,70,F,1,F,0,9,8
Male,30,Caucasian,0,1,0,11,31,69,F,1,F,0,9,9
Male,19,African-American,1,0,0,1,578,59,F,1,F,0,9,9
Male,20,African-American,0,0,0,3,-55,55,F,0,O,0,9,9
Male,31,African-American,0,0,0,6,-54,54,F,1,M,0,9,9
Female,20,African-American,1,0,0,1,483,52,F,1,M,0,9,10
Male,27,African-American,0,0,0,25,18,50,F,1,F,1,9,10
Male,25,African-American,0,0,1,7,507,47,F,0,O,0,9,8
Male,58,African-American,0,0,0,16,-47,47,F,1,F,0,9,9
Male,20,African-American,1,0,1,1,-47,47,F,1,M,0,9,10
Male,25,African-American,2,3,0,8,-230,46,F,0,O,0,9,10
Male,19,African-American,3,0,0,2,-43,43,F,1,F,0,9,9
Male,21,Caucasian,0,0,0,1,-43,43,F,0,O,0,9,6
Female,20,Caucasian,0,0,0,2,28,36,F,0,O,0,9,9
Male,22,African-American,0,0,0,3,-35,35,F,1,F,1,9,7
Male,62,African-American,0,0,0,15,-36,35,F,0,O,0,9,9
Male,24,African-American,0,0,0,15,-31,31,F,1,F,1,9,9
Male,19,Caucasian,1,3,2,5,-31,31,M,1,F,0,9,9
Male,40,Caucasian,0,0,0,8,-28,28,F,1,M,0,9,8
Male,36,African-American,0,0,0,20,9,27,M,1,F,0,9,10
Male,37,African-American,2,0,0,18,-1,27,M,0,O,0,9,9
Female,20,African-American,0,0,0,1,-24,24,F,1,F,0,9,9
Male,20,Hispanic,2,0,0,2,-21,21,F,1,M,0,9,8
Male,19,African-American,3,0,0,2,-21,21,F,1,F,0,9,8
Male,25,African-American,1,2,0,9,43,20,F,1,F,1,9,9
Female,23,African-American,0,0,0,2,16,20,F,1,F,1,9,10
Male,25,Hispanic,1,0,0,8,-20,19,F,0,O,0,9,9
Male,38,African-American,1,2,2,22,-34,15,M,1,F,1,9,9
Female,24,African-American,3,0,0,7,-13,13,F,0,O,0,9,10
Female,28,African-American,0,0,0,9,-12,12,M,1,F,1,9,9
Male,57,African-American,0,0,0,27,-9,9,M,0,O,0,9,10
Male,20,Caucasian,0,0,0,1,-9,9,F,0,O,0,9,7
Male,25,African-American,4,0,0,13,-8,8,F,1,M,0,9,10
Male,53,Caucasian,0,0,0,36,-7,7,F,1,M,0,9,6
Male,31,African-American,2,0,0,24,-7,7,M,1,F,0,9,10
Female,32,African-American,0,0,0,4,-7,7,F,1,F,1,9,10
Male,22,African-American,0,4,0,7,-11,7,F,1,F,0,9,8
Male,24,Caucasian,0,0,0,1,-38,6,F,1,M,0,9,10
Male,20,Native American,0,1,0,1,-5,5,F,1,M,1,9,9
Male,21,African-American,0,0,0,0,-5,5,F,1,M,1,9,10
Male,24,African-American,0,0,0,2,-1,4,M,1,M,0,9,9
Male,21,Caucasian,0,2,7,2,-3,4,F,1,M,1,9,9
Male,29,African-American,0,0,0,4,-1,2,F,1,F,1,9,8
Male,19,Hispanic,2,0,0,2,-2,2,F,1,F,0,9,8
Male,20,African-American,1,0,0,1,-2,2,F,0,O,0,9,6
Male,21,Caucasian,0,0,0,0,-2,2,F,0,O,0,9,10
Male,20,Caucasian,0,0,0,0,-2,2,M,1,M,0,9,10
Male,21,African-American,0,0,1,1,117,1,F,1,M,0,9,10
Male,41,African-American,2,0,1,14,41,1,M,1,M,0,9,8
Male,22,African-American,0,0,1,1,28,1,M,1,F,1,9,7
Male,36,African-American,0,1,0,18,0,1,F,0,O,0,9,10
Male,33,African-American,0,0,0,16,0,1,M,1,M,1,9,9
Male,32,Caucasian,0,1,0,15,0,1,F,1,M,0,9,9
Male,31,Caucasian,0,0,0,11,0,1,F,1,F,0,9,7
Male,24,African-American,5,1,0,10,0,1,F,1,F,1,9,10
Male,37,African-American,0,0,0,9,0,1,F,1,F,1,9,6
Female,38,African-American,0,0,0,7,0,1,F,1,F,0,9,10
Male,33,African-American,0,0,0,7,0,1,F,1,F,1,9,7
Male,25,African-American,0,0,0,7,0,1,F,1,M,0,9,9
Male,24,African-American,0,0,0,6,0,1,F,1,F,0,9,10
Male,27,African-American,0,0,0,5,0,1,M,1,M,0,9,10
Male,26,Hispanic,0,0,0,5,0,1,F,1,M,0,9,9
Male,29,African-American,1,1,1,4,0,1,F,1,F,1,9,10
Male,25,African-American,0,0,0,4,0,1,F,1,M,0,9,10
Male,23,African-American,0,1,0,4,0,1,F,1,M,1,9,9
Male,33,African-American,0,0,0,2,0,1,F,1,F,0,9,8
Male,25,African-American,0,0,0,2,0,1,F,0,O,0,9,9
Male,22,Hispanic,0,0,0,2,0,1,F,0,O,0,9,7
Male,25,Hispanic,0,0,0,1,0,1,F,0,O,0,9,10
Male,23,African-American,0,0,0,1,0,1,M,0,O,0,9,7
Male,24,African-American,0,0,0,0,0,1,F,1,M,0,9,10
Male,23,Caucasian,0,0,1,0,0,1,F,1,M,1,9,9
Male,21,African-American,0,0,1,0,0,1,F,1,M,0,9,8
Male,21,African-American,0,0,0,0,0,1,F,0,O,0,9,7
Female,21,African-American,0,0,0,0,0,1,F,0,O,0,9,9
Female,21,African-American,0,0,0,0,0,1,F,0,O,0,9,10
Female,20,Caucasian,0,0,0,0,0,1,F,1,M,1,9,10
Male,19,African-American,0,0,1,0,0,1,F,0,O,0,9,9
Male,29,African-American,0,0,0,29,-1,1,F,1,F,0,9,8
Male,37,African-American,2,0,0,27,-1,1,F,0,O,0,9,10
Male,54,African-American,0,0,0,26,-1,1,F,0,O,0,9,5
Male,48,African-American,1,0,0,25,-1,1,F,1,F,1,9,10
Male,41,African-American,0,0,0,25,-1,1,F,1,M,1,9,9
Female,35,African-American,0,1,0,23,-1,1,F,1,F,0,9,9
Male,35,African-American,2,1,0,23,-1,1,F,0,O,0,9,10
Male,29,African-American,0,0,1,20,-1,1,F,0,O,0,9,10
Male,27,African-American,0,0,2,20,-1,1,F,0,O,0,9,10
Male,41,Hispanic,0,0,0,19,-1,1,F,1,F,1,9,10
Male,31,African-American,0,0,0,19,-1,1,F,1,M,0,9,9
Male,25,Caucasian,2,12,7,19,-1,1,F,0,O,0,9,8
Male,42,African-American,0,0,0,17,-1,1,F,1,M,0,9,10
Male,24,African-American,0,0,0,17,-1,1,F,1,M,0,9,9
Male,29,African-American,0,0,0,16,-1,1,F,1,F,0,9,10
Male,28,African-American,8,0,1,16,-1,1,F,1,M,1,9,8
Male,28,African-American,0,2,0,16,-1,1,F,0,O,0,9,9
Female,45,Native American,0,0,0,15,-1,1,F,1,M,0,9,10
Male,30,African-American,0,0,0,15,-1,1,F,1,F,0,9,10
Male,27,African-American,1,1,2,15,-1,1,F,1,M,0,9,10
Male,27,African-American,0,0,0,15,-1,1,M,0,O,0,9,9
Male,25,African-American,0,1,1,15,-1,1,F,0,O,0,9,9
Male,24,African-American,0,5,1,15,-1,1,F,1,F,1,9,10
Male,36,African-American,1,2,0,14,-1,1,F,1,F,0,9,10
Male,34,Hispanic,0,0,0,14,-1,1,F,1,F,0,9,9
Male,39,Caucasian,1,0,0,13,-1,1,F,0,O,0,9,7
Male,37,African-American,0,1,0,13,-1,1,F,1,M,0,9,8
Male,31,African-American,0,0,0,13,-1,1,M,1,M,0,9,10
Male,27,African-American,0,0,0,13,-1,1,M,1,M,1,9,8
Male,22,African-American,0,0,1,13,-1,1,F,1,M,0,9,10
Male,37,African-American,0,0,0,12,-1,1,F,0,O,0,9,9
Male,37,African-American,3,0,0,12,-1,1,M,0,O,0,9,10
Male,33,African-American,0,0,0,12,-1,1,F,1,M,0,9,9
Male,24,African-American,0,3,0,12,-1,1,M,0,O,0,9,10
Male,54,African-American,0,0,0,11,-1,1,F,0,O,0,9,9
Male,32,Caucasian,0,0,0,11,-1,1,F,0,O,0,9,10
Male,27,African-American,0,0,0,11,-1,1,F,1,F,0,9,10
Male,27,African-American,0,0,0,11,-1,1,M,1,F,0,9,10
Male,23,Caucasian,8,2,0,11,-1,1,F,1,M,0,9,10
Male,44,African-American,0,0,0,10,-1,1,F,0,O,0,9,10
Male,32,African-American,0,1,0,10,-1,1,F,0,O,0,9,7
Male,27,African-American,0,0,0,10,-1,1,F,0,O,0,9,9
Male,25,Hispanic,1,4,0,10,-1,1,F,1,F,0,9,9
Male,23,African-American,0,0,1,10,-1,1,F,1,F,0,9,10
Male,33,African-American,2,0,0,9,-1,1,M,1,F,0,9,9
Male,26,African-American,0,1,1,9,-1,1,M,1,M,0,9,10
Male,25,Caucasian,0,0,0,9,-1,1,M,1,F,1,9,10
Male,25,Caucasian,0,0,0,9,-1,1,F,1,M,1,9,8
Male,25,Caucasian,0,1,0,9,-1,1,F,1,M,0,9,9
Male,22,African-American,0,2,0,9,-1,1,F,0,O,0,9,10
Male,30,African-American,0,0,0,8,-1,1,M,1,M,1,9,10
Male,30,Hispanic,0,0,0,8,-1,1,F,0,O,0,9,9
Male,29,African-American,1,0,0,8,-1,1,F,1,F,1,9,10
Male,25,African-American,0,0,1,8,-1,1,F,0,O,0,9,10
Male,24,African-American,0,2,1,8,-1,1,F,1,M,1,9,9
Male,24,Caucasian,0,3,2,8,-1,1,F,0,O,0,9,10
Male,45,African-American,0,0,0,7,-1,1,F,1,M,1,9,9
Male,36,African-American,0,0,0,7,-1,1,F,0,O,0,9,10
Female,33,African-American,0,0,0,7,-1,1,F,1,M,0,9,9
Male,33,Caucasian,0,0,0,7,-1,1,F,1,M,1,9,9
Male,30,African-American,0,1,0,7,-1,1,F,1,F,0,9,9
Male,28,African-American,0,2,0,7,-1,1,F,1,F,0,9,7
Male,27,African-American,0,0,0,7,-1,1,M,1,M,0,9,7
Male,27,African-American,0,0,2,7,-1,1,M,1,M,1,9,9
Male,26,African-American,0,0,0,7,-1,1,F,1,F,0,9,10
Male,34,African-American,0,0,0,6,-1,1,F,1,M,1,9,8
Male,31,Caucasian,2,0,0,6,-1,1,F,0,O,0,9,10
Male,29,African-American,0,0,0,6,-1,1,F,1,F,0,9,10
Male,29,African-American,0,0,0,6,-1,1,F,0,O,0,9,8
Female,28,Caucasian,0,0,0,6,-1,1,M,1,M,0,9,10
Male,27,African-American,0,0,0,6,-1,1,F,1,M,0,9,8
Female,27,Caucasian,0,0,0,6,-1,1,F,0,O,0,9,10
Male,26,African-American,0,1,0,6,-1,1,F,1,F,1,9,10
Female,24,African-American,1,0,0,6,-1,1,F,1,M,0,9,9
Male,24,Hispanic,1,0,0,6,-1,1,F,1,M,0,9,10
Male,22,African-American,0,0,0,6,-1,1,F,0,O,0,9,9
Male,21,Caucasian,0,1,0,6,-1,1,F,0,O,0,9,9
Female,27,African-American,0,0,0,5,-1,1,F,0,O,0,9,10
Male,26,African-American,0,0,0,5,-1,1,F,1,M,0,9,8
Male,25,African-American,0,1,2,5,-1,1,F,1,M,0,9,9
Male,25,African-American,0,2,0,5,-1,1,F,0,O,0,9,9
Male,25,African-American,0,0,0,5,-1,1,M,0,O,0,9,9
Male,25,African-American,0,0,1,5,-1,1,F,1,M,0,9,9
Male,24,African-American,0,0,0,5,-1,1,F,0,O,0,9,9
Male,24,African-American,5,0,0,5,-1,1,F,1,F,0,9,8
Male,23,Other,0,0,0,5,-1,1,M,1,M,1,9,10
Male,23,African-American,0,0,1,5,-1,1,F,1,M,1,9,9
Male,22,African-American,0,0,0,5,-1,1,F,0,O,0,9,10
Male,20,African-American,1,2,0,5,-1,1,F,1,M,0,9,9
Male,33,African-American,0,0,0,4,-1,1,F,0,O,0,9,10
Male,28,African-American,0,0,0,4,-1,1,F,0,O,0,9,7
Male,26,African-American,0,1,0,4,-1,1,M,1,M,1,9,8
Male,26,Hispanic,0,0,0,4,-1,1,F,0,O,0,9,9
Male,25,African-American,1,0,0,4,-1,1,F,0,O,0,9,9
Male,24,African-American,0,0,0,4,-1,1,F,1,F,0,9,9
Male,23,African-American,0,0,0,4,-1,1,F,1,F,0,9,10
Male,23,African-American,1,0,0,4,-1,1,F,0,O,0,9,9
Male,23,Caucasian,0,1,0,4,-1,1,M,1,M,1,9,9
Male,22,African-American,0,0,0,4,-1,1,F,1,F,1,9,9
Male,22,African-American,0,0,1,4,-1,1,F,0,O,0,9,10
Male,22,African-American,0,0,0,4,-1,1,F,0,O,0,9,8
Male,20,African-American,2,2,0,4,-1,1,F,1,F,0,9,9
Male,26,African-American,0,0,0,3,-1,1,M,1,F,0,9,10
Male,26,African-American,1,0,0,3,-1,1,F,1,M,1,9,10
Male,26,African-American,0,0,0,3,-1,1,F,1,M,1,9,7
